DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,816,0,0,685,tree,y_weekday
test,0.8245341614906833,0.836940836940837,0.8192090395480226,0.855457227138643,290,64,49,241,tree,y_weekday
train,1.0,1.0,1.0,1.0,816,0,0,685,RandomForest,y_weekday
test,0.8074534161490683,0.8238636363636365,0.8192090395480226,0.8285714285714286,290,64,60,230,RandomForest,y_weekday
train,0.8754163890739507,0.8870090634441088,0.8995098039215687,0.8748510131108462,734,82,105,580,GradientBoosting,y_weekday
test,0.827639751552795,0.8429985855728429,0.8418079096045198,0.8441926345609065,298,56,55,235,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,793,0,0,708,tree,y_weekend
test,0.718944099378882,0.7380607814761215,0.7306590257879656,0.7456140350877193,255,94,87,208,tree,y_weekend
train,1.0,1.0,1.0,1.0,793,0,0,708,RandomForest,y_weekend
test,0.7934782608695652,0.8046989720998532,0.7851002865329513,0.8253012048192772,274,75,58,237,RandomForest,y_weekend
train,0.854763491005996,0.8556291390728477,0.8146279949558638,0.900976290097629,646,147,71,637,GradientBoosting,y_weekend
test,0.8090062111801242,0.815592203898051,0.7793696275071633,0.8553459119496856,272,77,46,249,GradientBoosting,y_weekend
