cols,importtance
order_weekday,0.36924086829964775
order_weekend,0.34601344459759004
delta_avg,0.02742982439391226
order_cancel,0.026031173629847196
order_time_16,0.024161444960000333
order_time_12,0.02325590247151224
order_delivery,0.020037381418319733
order_time_21,0.018936227372116157
order_time_14,0.017932265560273396
order_time_15,0.017163272378446896
order_time_19,0.01651450324851705
order_time_11,0.015296672072902315
order,0.015060033686623396
order_fin,0.014922401687789973
order_time_17,0.010867259363193773
order_takeout,0.009680923869953499
order_time_20,0.007815134462076991
order_time_13,0.004721052119882089
store_逗子店,0.0025175101975096607
store_北千住店,0.0023496761843423497
store_泉店,0.0020140081580077287
store_西葛西店,0.0020140081580077287
store_神田店,0.001977389827862133
store_国立店,0.001315547416341743
store_保土ケ谷店,0.0012307827632269468
store_恵比寿店,0.0008615479342588589
store_駒込店,0.0006397437678377467
store_瀬谷店,0.0
store_海老名店,0.0
store_清瀬店,0.0
store_渋谷店,0.0
store_港北店,0.0
store_港南店,0.0
store_相模原店,0.0
store_熊谷店,0.0
store_狛江店,0.0
store_狭山店,0.0
store_王子店,0.0
store_町田店,0.0
store_白井店,0.0
store_目黒店,0.0
store_石神井店,0.0
store_磯子店,0.0
store_神奈川店,0.0
store_浦安店,0.0
store_水戸店,0.0
store_浦和店,0.0
store_横浜南店,0.0
store_東尾久店,0.0
store_東村山店,0.0
store_東松山店,0.0
store_松戸店,0.0
store_板橋店,0.0
store_柏店,0.0
store_栃木店,0.0
store_栄店,0.0
store_桐生店,0.0
store_横浜緑店,0.0
store_浅草店,0.0
store_横須賀店,0.0
store_武蔵村山店,0.0
store_武蔵野店,0.0
store_秦野店,0.0
store_江戸川店,0.0
store_江東店,0.0
store_池尻店,0.0
store_池袋店,0.0
store_流山店,0.0
store_福生店,0.0
store_茂原店,0.0
store_稲城店,0.0
store_青梅店,0.0
store_足利店,0.0
store_足柄上店,0.0
store_足立店,0.0
store_那珂店,0.0
store_都筑店,0.0
store_金沢店,0.0
store_銀座店,0.0
store_鎌倉店,0.0
store_青山店,0.0
store_青葉店,0.0
store_赤羽店,0.0
store_館林店,0.0
store_駒沢店,0.0
store_高円寺店,0.0
store_高島平店,0.0
store_高崎店,0.0
store_高座店,0.0
store_高津店,0.0
store_高田馬場店,0.0
store_鴻巣店,0.0
store_越谷店,0.0
store_赤坂店,0.0
store_立川店,0.0
store_茅ヶ崎店,0.0
store_綾瀬店,0.0
store_練馬店,0.0
store_羽村店,0.0
store_羽生店,0.0
store_習志野店,0.0
store_自由が丘店,0.0
store_船橋店,0.0
store_若葉店,0.0
store_東久留米店,0.0
store_草加店,0.0
store_谷中店,0.0
store_荒川店,0.0
store_荻窪店,0.0
store_葛飾店,0.0
store_蒲田店,0.0
store_藤沢店,0.0
store_行田店,0.0
store_西多摩店,0.0
store_西東京店,0.0
store_調布店,0.0
store_東大和店,0.0
store_日本橋店,0.0
store_東中野店,0.0
store_厚木店,0.0
store_八千代店,0.0
store_八潮店,0.0
store_八王子店,0.0
store_六本木店,0.0
store_前橋店,0.0
store_千葉中央店,0.0
store_千葉緑店,0.0
store_南砂店,0.0
store_南足柄店,0.0
store_取手店,0.0
store_佐野店,0.0
store_向島店,0.0
store_君津店,0.0
store_和光店,0.0
store_品川店,0.0
store_四街道店,0.0
store_国分寺店,0.0
store_坂戸店,0.0
store_墨田店,0.0
store_多摩店,0.0
store_入間店,0.0
store_佐倉店,0.0
store_大井店,0.0
store_上野店,0.0
order_time_18,0.0
store_あきる野店,0.0
store_さいたま南店,0.0
store_さいたま緑店,0.0
store_さいたま西店,0.0
store_つくば店,0.0
store_三浦店,0.0
store_三鷹店,0.0
store_上尾店,0.0
store_世田谷店,0.0
store_伊勢崎店,0.0
store_中原店,0.0
store_中店,0.0
store_中野店,0.0
store_久喜店,0.0
store_九段店,0.0
store_亀有店,0.0
store_五反田店,0.0
store_代々木店,0.0
store_伊勢原店,0.0
store_大久保店,0.0
store_大和店,0.0
store_杉並店,0.0
store_所沢店,0.0
store_府中店,0.0
store_座間店,0.0
store_志木店,0.0
store_愛甲店,0.0
store_成城店,0.0
store_成田店,0.0
store_我孫子店,0.0
store_戸塚店,0.0
store_戸田店,0.0
store_新宿店,0.0
store_平塚店,0.0
store_新座店,0.0
store_日立店,0.0
store_日野店,0.0
store_旭店,0.0
store_春日部店,0.0
store_昭島店,0.0
store_木更津店,0.0
store_本庄店,0.0
store_本郷店,0.0
store_幸店,0.0
store_市川店,0.0
store_大塚店,0.0
store_富津店,0.0
store_大宮店,0.0
store_大森店,0.0
store_大泉店,0.0
store_大田店,0.0
store_太田店,0.0
store_宇都宮店,0.0
store_守谷店,0.0
store_宮前店,0.0
store_富岡店,0.0
store_富里店,0.0
store_市原店,0.0
store_小山店,0.0
store_小平店,0.0
store_小田原店,0.0
store_小金井店,0.0
store_川口店,0.0
store_川崎多摩店,0.0
store_川崎店,0.0
store_川越店,0.0
store_巣鴨店,0.0
store_鶴見店,0.0
